                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.31451,                0.19993,                0.88361,                0.99826,                      1,                  0.995,                0.96357,                0.23359,                0.12276,                0.81827,               0.001981,               0.001981,               0.001981
                     83,                0.31663,                0.20277,                0.88826,                0.99876,                      1,                  0.995,                0.96176,                0.26017,                0.12438,                0.82768,               0.001882,               0.001882,               0.001882
                     84,                0.31993,                0.19965,                0.89642,                0.99856,                      1,                  0.995,                0.95765,                0.26981,                0.12735,                0.83877,               0.001783,               0.001783,               0.001783
                     85,                  0.323,                0.19641,                0.89228,                0.99858,                      1,                  0.995,                0.96219,                0.25385,                0.12292,                0.83166,               0.001684,               0.001684,               0.001684
                     86,                0.30658,                0.19998,                0.88879,                0.99891,                      1,                  0.995,                0.96696,                0.24055,                0.11508,                0.82507,               0.001585,               0.001585,               0.001585
                     87,                0.30866,                0.19373,                0.89005,                0.99856,                      1,                  0.995,                0.96328,                0.24702,                0.12421,                0.82789,               0.001486,               0.001486,               0.001486
                     88,                0.30356,                0.19278,                0.88753,                0.99853,                      1,                  0.995,                0.97159,                0.23023,                0.12068,                0.81968,               0.001387,               0.001387,               0.001387
                     89,                0.29369,                0.18461,                0.88201,                0.99908,                      1,                  0.995,                0.96652,                0.24145,                0.11391,                 0.8258,               0.001288,               0.001288,               0.001288
                     90,                0.24175,                0.13606,                0.83599,                0.99848,                      1,                  0.995,                0.96418,                 0.2517,                0.12416,                0.82971,               0.001189,               0.001189,               0.001189
                     91,                0.22922,                0.13057,                 0.8372,                0.99862,                      1,                  0.995,                0.96729,                0.23286,                0.11009,                0.82103,                0.00109,                0.00109,                0.00109
                     92,                0.22642,                0.12768,                0.82882,                0.99914,                      1,                  0.995,                0.96558,                0.22905,                 0.1094,                0.82179,               0.000991,               0.000991,               0.000991
                     93,                0.22377,                0.12631,                0.83213,                0.99846,                      1,                  0.995,                0.96224,                0.23098,                 0.1143,                0.82373,               0.000892,               0.000892,               0.000892
